id,tweet,emotion,offensive,dialect,confidence
4281,"Viendo la repe de HASHTAG vs HASHTAG. Que bien juegan los holandeses! Saben cuando tocar, posicionarse, atacar y hacer los relevos. EXCELENTES LOS DE CAMISETA NEGRA!! HASHTAG",joy,0,chilean,medium
4350,Tremendo cambio de juego de Vidal   HASHTAG,others,0,chilean,high
4392,Santiago Apastar dice que le insultan mientras insulta a los progresos y a la gente que es menos de derechas que él. HASHTAG  URL,anger,0,chilean,high
4403,"GRACIAS. Estoy hasta la seta de las moralidades de la gente que mueve el culo sólo una vez al año y ya se cree que lucha algo. La lucha es día a día, en las calles!  HASHTAG HASHTAG  URL",anger,0,chilean,high
5387,¡Mañana todos a marchar!•💪🌿🌊🌻🌎🏔️🌅•En todo Chile y el mundo exigimos acciones inmediatas en contra de los efectos del cambio climático. ¡Unidos por empoderamiento de las comunidades en defensa de sus territorios!  HASHTAG HASHTAG HASHTAG HASHTAG  URL,others,0,chilean,high
5549,"Publico en mi blog el artículo: ""El grito valiente de HASHTAG "", una reflexión con motivo del XIV Seminario Internacional Comarcas Sostenibles que ayer y hoy se celebra en el teatro Víctor Jara. HASHTAG  URL  URL",others,0,chilean,high
5697,USER Nos vemos pa un tinto en HASHTAG del carmen,others,0,chilean,high
5700,Típico chileno: mostrar fotos cuando visitaron la catedral de HASHTAG,others,0,chilean,high
5707,Primero se quema HASHTAG Segundo Siboldi anuncia su renuncia al Veracruz Que semana nos espera.,surprise,0,chilean,medium
5771,"Venezolanos comienzan a llegar a plaza italia, en chile HASHTAG USER HASHTAG HASHTAG en Plaza Italia  URL",others,0,chilean,high
5843,Y  los niños Piñera y HASHTAG    le  quitaron protagonismo al HASHTAG Durán.,others,0,chilean,high
5862,Cancillería Chilena confirma que Leopoldo López y su familia se encuentran en condición de huéspedes en la embajada chilena (Caracas HASHTAG)  URL  URL,others,0,chilean,medium
5884,. USER Informa: a HASHTAG y a la comunidad internacional que  USER no ha solicitado asilo al Gobierno de Chile y ya no se encuentra en la residencia diplomática.,others,0,chilean,high
5894,Fundación Cinemateca Nacional invita a los Amigos de la Cinemateca a programar un ciclo de cine  URL HASHTAG HASHTAG HASHTAG  HASHTAG  URL,others,0,chilean,high
5902,"USER USER USER oiga don Cristian, acá en chilito eso ha pasado un montón de veces, y cosas peores en plena democracia. O no ha visto como tratan a las señoras verduleras en HASHTAG? o ve las noticias de HASHTAG no más?",others,0,chilean,high
5905,La diferencia de HASHTAG con HASHTAG es que Chile tenía un HASHTAG  URL,others,0,chilean,high
6150,✨Hora de HASHTAG✨ innovación y literatura en este HASHTAG 📚 con Isidora Undurraga USER HASHTAG,others,0,chilean,high
6193,"No me lo van a creer, pero USER también es fan de nuestras teleseries turcas. ¡Y aún no supera HASHTAG!  URL HASHTAG HASHTAG HASHTAG  URL",others,0,chilean,medium
6218,Daniel Maturana autor nacional de emisor y receptor HASHTAG  URL,others,0,chilean,medium
6222,Libro recoge y analiza el cine chileno durante la dictadura HASHTAG  URL,others,0,chilean,high
6294,"Qué Leo Rancagua, fomentando la lectura y contribuyendo al acervo cultural regional. USER USER USER USER USER HASHTAG HASHTAG  URL",others,0,chilean,high
6317,"HASHTAG corre saludar a Condorito? Yo lo conocí en revistas pero empezó como ""libro""",others,0,chilean,high
6567,"Hoy hay Shempions y es feriado, así que hoy hay 2 Kg de papas fritas y cerveza para tal magno evento. HASHTAG",others,0,chilean,high
6752,"A los gritos de militancia de ""Con Rivera NO"" USER responde ""No vamos a poner cordones sanitarios, la única condición será respetar la constitución"". HASHTAG HASHTAG  URL",others,0,chilean,medium
6758,Donde están los fachas? celebrando antes de tiempo??? Querían vernos las caras en los resultados.....  HASHTAG  URL,others,0,chilean,high
6829,Envío urgente a Génova 13. HASHTAG  URL,others,0,chilean,high
7054,"No hay Planeta B HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG en Santiago, Chile  URL",others,0,chilean,high
7058,"¡Hoy en todo Chile marchamos por más consciencia y la urgencia de hacer cambios por los efectos del HASHTAG • ""No quiero que me deis esperanza, quiero que actuéis como si la casa estuviese en llamas. Porque lo está."" Demoledor discurso de HASHTAG HASHTAG  URL",anger,0,chilean,high
7266,"USER USER USER USER HASHTAG nos recuerda tragedias patrimoniales como el Museo Nacional de Brasil, daño al Gigante de Atacama, incendio de iglesias como la de Sn Francisco en Valparaíso o demoliciones diarias bajo la depredación inmobiliaria",sadness,0,chilean,high
7319,"Hoy he leído tanta lamentación: “Que terrible, cuanta pérdida, una lástima, cuánto valor histórico!”... tanto Jorobado sufriendo por la Catedral de HASHTAG y con cuea se han parado a mirar a los hermanos del flaco a hacer humor afuera de la Catedral de Santiago.",sadness,0,chilean,high
7409,"Memoria y desastres. Chile en 1863 también sufrió de un gran incendio😔 Como país que sufrimos de constantes perdidas patrimoniales, toda la fuerza a Francia en este momento tan doloroso. Aprendamos de las Cistus, la flor que resiste al fuego✊ URL HASHTAG  URL",sadness,0,chilean,high
7502,"Vi qué hay chilenos manifestandose democráticamente afuera de la embajada de HASHTAG en favor del dictador USER. Ellos se manifiestan democráticamente, mientras un pueblo manifiesta su dolor y angustia frente a la tiranía de un régimen que día a día mata a su gente.  URL",sadness,0,chilean,high
7597,"Los chilenos somos tan peleadores que no nos basta con toda la mierda política que tenemos acá, sino que ahora pelean por lo que pasa en HASHTAG",anger,0,chilean,high
7763,USER USER USER Raúl Cazal eres un corrupto degenerado sin vergüenza. HASHTAG,anger,1,chilean,high
7977,He visto párvulos repetidores con mejores estrategias militares que las del Ejército de los Vivos en HASHTAG. Es horrible de verdad.,anger,1,chilean,high
7981,"Tal vez si prohibieran la literatura al igual que la cocaína, la gente por puro morbo, buscaría meterse un par de líneas."" HASHTAG._ A. Jodorowsky",others,0,chilean,high
7985,HASHTAG Ají en el culo a los levantaos de raja que solo leyeron Las fantasías sexuales de pinocho con Guzmán,anger,1,chilean,high
