id,tweet,emotion,offensive,dialect,confidence
4234,Hoy la gente de bien le va al HASHTAG ¿O no? HASHTAG,others,0,colombian,high
4371,Twitter Colombia apoyaba al USER Todo en orden 🤗 HASHTAG,others,0,colombian,high
4593,"USER USER Correo me hizo llegar el voto el último día y esta era la cola.... Dos horas de espera, lluvia y embarazo pensé que no eran buena combinación. HASHTAG  URL",anger,0,colombian,high
4746,Lo mejor de volver a los colegios es que te das cuenta cómo ha cambiado todo 😂 HASHTAG HASHTAG  URL,joy,0,colombian,high
4876,El FRA-Casado dice que vuelven a ser de centro derecha. CLARO QUE SI GUAPI.  HASHTAG,others,0,colombian,high
4888,HASHTAG sean cuales sean los resultados de las HASHTAG  recuerda que no habrá nada más raro que la película 🎞 de nuestro próximo programa. Mañana HASHTAG “El Caballero del Dragón 🐉 “ HASHTAG  URL,others,0,colombian,medium
5183,"USER Encuentro último validar el rayado de bienes de uso común ... entonces su postura y lo que piensa valida su rayado? que sin sentido lo que dices, invítala a que raye tu casa, así no molesta a otros. Hay otras formas de protesta y mucho más válidas, mira a HASHTAG por ej",others,0,colombian,high
5271,"HASHTAG lo dice bien claro, les estamos robando el futuro. Una gran bola contaminante envuelta en plástico, ese es el HASHTAG que les estamos preparando. ¡Actuemos! Foto Christian Aslůnd USER HASHTAG HASHTAG HASHTAG  URL",anger,0,colombian,high
5357,Invitamos a todos los estudiantes en Bogotá hoy a unirse al paro estudiantil para exigir al gobierno tomar medidas en contra del cambio climático! La manifestación se llevará a cabo a las 10.00am en la plaza simón Bolívar HASHTAG HASHTAG HASHTAG HASHTAG,others,0,colombian,high
5379,HASHTAG Continuamos nuestra lucha por el Medio Ambiente. Avispas nos vemos mañana en la Plaza de Bolivar a las 2pm para movilizarnos por un futuro sin contaminación. HASHTAG HASHTAG  URL,others,0,colombian,high
5440,"Muy molesta por estos inicendios, por esta contaminación y por ser de las personas con ASMA que les demás critican por no poder respirar bien en estas condiciones ambientales. Yo estoy con HASHTAG BASTA YA DE MATAR A NUESTRO PLANETA  URL",anger,0,colombian,high
5620,"Internet hoy:- ""Que naco es subir tu foto en USER""*Un naco que no tiene foto en HASHTAG",others,0,colombian,high
5643,"- Oiga Arqui, y a todo esto, Cómo fue que empezó el incendio? - Pues... HASHTAG HASHTAG  HASHTAG  URL",others,0,colombian,medium
5651,"HASHTAG, la joya arquitectónica que sobrevivió al paso del tiempo -  URL",others,0,colombian,medium
5716,"HASHTAG ¿y el congreso, la muni y la casa, crema para cuándo?",others,0,colombian,high
5737,Ajá pero díganme qué causó el fuego en HASHTAG????,others,0,colombian,medium
5795,Tanqueta arrolla a opositores en HASHTAG  URL  URL,others,0,colombian,medium
5859,HASHTAG ¿Fue éxito o fracaso el paro de hoy? HASHTAG  HASHTAG  HASHTAG,others,0,colombian,medium
5867,"La educación ambiental es fundamental, debemos incentivar el interés en la población, referente a temas de conservación del medio ambiente. Pensando siempre en las futuras generaciones... HASHTAG",others,0,colombian,medium
5890,"Recuerda Colombiano, no tienes más derecho que el de Ver, Oír y Callar. HASHTAG HASHTAG",others,0,colombian,high
6230,¡Qué chévere! USER también celebra el HASHTAG poniendo a leer a sus ciudadanos. ¿Dónde más lo están haciendo? Repliquemos estas noticias tan lindas.  URL,joy,0,colombian,high
6252,"USER Tío USER mi lectura para los viajes es “Un veterano de tres guerras” de Guillermo Parvex, mire justo ahora me voy leyendo 😉👍🏻📖  HASHTAG HASHTAG 🚆💙 HASHTAG HASHTAG  URL",joy,0,colombian,high
6325,📻 Terminó el primer tiempo:  USER 0-0 USER  USER🇨🇴 titular  URL  URL,others,0,colombian,high
6412,"HASHTAG | La colombiana USER, esposa de USER se encuentra presente en el Camp Nou en la celebración del título del USER ⚽▶   URL  URL",joy,0,colombian,high
6442,"Ustedes sigan como desde hace mes y medio, con chancletas y los pies metidos en la arena... Yo les digo en qué momento hay campeón. HASHTAG HASHTAG",others,0,colombian,high
6559,"en colombia ya habrían habido como 5 tarjetas amarillas, y si juega millos sancionado el campin por un año. HASHTAG",others,0,colombian,high
6669,HASHTAG 📆⚽️ HASHTAG 🌏 Semifinal (Ida) 🔥🎶🎶 The  Chaaaaaaampions 🎶🎶 HASHTAG 🇫🇷 HASHTAG 🇨🇴 HASHTAG 🇧🇷 Jornada 2 🔥 HASHTAG 🌎 HASHTAG VueltaHoy habrá CAMPEÓN🤜🏼Síguenos🤛🏼  URL,others,0,colombian,high
6700,HASHTAG | Davinson Sánchez:  ''Seguimos vivos y creemos en nuestro equipo''  URL,others,0,colombian,high
6799,"Qué poca gente sabe cómo votar al Senado. No sé, por si a alguien le da qué pensar. HASHTAG",others,0,colombian,medium
6896,Creo que nunca había seguido unas elecciones con tanto interés. Estoy cambiando de canal compulsivamente. 😄 HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,surprise,0,colombian,medium
6985,Excelente USER y USER que retomen estos temas y noticias para nuestro país  👏👏👏 HASHTAG HASHTAG,joy,0,colombian,medium
7020,Nos unimos a la HASHTAG  de HASHTAG contra el cambio climático a través de iniciativas con niños y niñas entre los 4 a 13 años reconocidos como HASHTAG de la vereda El Pescado de Puerto Boyacá  URL,others,0,colombian,high
