id,tweet,emotion,offensive,dialect,confidence
1918,"El ecuador de la temporada final ya está entre nosotros. Uno de los momentos más esperados de la serie, que cumple con creces. Crítica HASHTAG 8x03.  URL  URL",others,0,ecuadorian,medium
2274,"¿Cuál es mi sueño para Ecuador en este HASHTAG? Que lleguemos a ser como Rusia, Suecia, China, donde leer es un hábito, es algo natural, cultural, está arraigado, no hace falta jactarse de que leen porque es lo “normal”. Eso quisiera, que no sean bichos raros los que leen.",anger,0,ecuadorian,high
2896,Hace poco ordené mis libreros. La mayoría de libros que saqué los voy a donar pero se me ocurrió que por el HASHTAG puedo regalar estos por aquí (solo en Guayaquil). Los 3 los tenia duplicados así que están nuevecitos. Veamos si funciona 😂Vamos a hacerlo simple*abro hilo*  URL,joy,0,ecuadorian,high
2997,"Canciones y juegos para interactuar con niños, niñas y jóvenes en la ""Fiesta de la lectura"" es lo que se está realizando en estos momentos en la Unidad Educativa ""Rafael Larrea"". HASHTAG  HASHTAG  URL",joy,0,ecuadorian,high
3583,"Feliz Día del trabajador Ecuatoriano🤘🤘🤘😎😎 Celebremos todos juntos en las HASHTAG con la mejor combinación: HASHTAG a mitad de precio + HASHTAG a $2,50 + HASHTAG Fc…  URL",joy,0,ecuadorian,high
5119,"Cuenca, 2 diputados para el PSOE, de lo que más orgullo puedo sentir en estos momentos. Gracias, de verdad.  HASHTAG",joy,0,ecuadorian,medium
5418,"HASHTAG - 08/Mar/19En nuestra edición de hoy, conmemoramos a las mujeres y presentamos los mejores lugares donde pueden trabajar en Ecuador. HASHTAG HASHTAG HASHTAG HASHTAG Mira todo el contenido aquí ⬇⬇  URL  URL",joy,0,ecuadorian,high
5521,Este es el hoy y el futuro! Los jóvenes 💙 HASHTAG HASHTAG 💙👇Una adolescente lidera la lucha por el medio ambiente en el corazón de Europa | Internacional | Noticias | El Universo  URL,joy,0,ecuadorian,medium
6102,"¿Será que así es el final? HASHTAG en Cuenca, Ecuador  URL",others,0,ecuadorian,high
6219,Hoy celebramos el HASHTAG y recordamos las librerías de antaño que se mantienen vigentes en Guayaquil. ►    URL  📖 📖  URL,others,0,ecuadorian,high
6388,Desde Cuenca en Ecuador siguiendo los comentarios de USER en el HASHTAG esperando se dé el resultado para celebrar el campeonato de HASHTAG saludos  ⚽️🎉 HASHTAG  URL,others,0,ecuadorian,high
7407,"USER Una tristeza infinita, estamos en Ecuador consternados, HASHTAG  maravilló a quienes la conocimos y al mundo entero, solidaridad con todos los franceses que sufren por este desastre",sadness,0,ecuadorian,high
