id,tweet,emotion,offensive,dialect,confidence
4203,"USER Me regalaron café chiapaneco; solo falta calentarlo... pero no radico en la ciudad. :(¡Además, hoy es tarde de HASHTAG! XD 🍺😄👍🏼 • ⭐️⭐️⭐️⭐️⭐️  URL",joy,0,mexican,high
4235,Disfruta de la HASHTAG donde quiera que estés con izzi go. Menciona a quién te gustaría ver en la final  HASHTAG HASHTAG  URL,others,0,mexican,high
4253,Es triste que te toque ver la HASHTAG desde el trabajo el Día del trabajo 😭🤦🏻‍♂️  URL,sadness,0,mexican,high
4344,Mi novia se molesta porque estoy viendo la HASHTAG dice que me embobo,others,0,mexican,high
4368,HASHTAG una locura ese tiro libre!!! 💙 HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,surprise,0,mexican,high
4402,JajaajajaaajaajajajajaajTwitter esta noche es lo mejor que nos ha podido pasar en el día. HASHTAG  HASHTAG  URL,joy,0,mexican,high
4408,Qué nervios!!! No sé con quién seguir los resultsdos electorales. En USER está USER que ya es un punto a favor... 👏🏼👏🏼 HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  HASHTAG HASHTAG HASHTAG HASHTAG  URL,fear,0,mexican,high
4417,Tío la peña es muy ingeniosa con lo de las HASHTAG me estoy estallando JAJA,joy,0,mexican,high
4459,Pues ya lista para ver si toca exilio o no. HASHTAG  URL,others,0,mexican,high
4468,Me encanta el olor a NAPAL en Genova 13 por la mañana. HASHTAG HASHTAG,others,0,mexican,high
4511,Siiiii parece que la cosa pinta bien!!! HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  HASHTAG  HASHTAG,joy,0,mexican,medium
4639,Mañana sí que va a ser día para sacar la bandera porque vaya ORGULLO de país. HASHTAG,joy,0,mexican,medium
4683,"Sonará a queja pero después de estar todo el día allí viviendo eso, sabes lo que es HASHTAG",others,0,mexican,high
4701,"Abrazo a toda esa gente, jóvenes en su mayoría, que han hecho viaje express ✈️ para cumplir con HASHTAG ¡Gracias!  HASHTAG",joy,0,mexican,high
4722,"Deberian de gobernar USER y USER  , para mí sería la mejor coalición , y la tuya? HASHTAG HASHTAG HASHTAG HASHTAG",others,0,mexican,high
4754,"No son los resultados ideales, pero todo pinta tan bien con lo mal que podía acabar 🤞🏼 HASHTAG",others,0,mexican,medium
4912,Trabajazo digital y papel de USER mañana más os vale disfrutarlo para que merezca la pena trasnochar 🙋🏻‍♂️😊 HASHTAG,joy,0,mexican,high
4927,"Sólo por evitarse la mudanza, Sanchez debe estar muy feliz, que quienes hemos hecho varias sabemos lo que es  HASHTAG HASHTAG  HASHTAG",others,0,mexican,high
4994,"Bueno , pues a esperar nuestro destino con o sin independes , preparando el bolsillo , HASHTAG",others,0,mexican,high
5004,Los memes de esta noche me están dando la vidaaaaaaa HASHTAG,joy,0,mexican,high
5054,Ay Patri hija que día más malo eh JAJAJAJAJAJAJAJAJAJAJA HASHTAG HASHTAG,others,0,mexican,high
5128,"Orgullosa de ver cómo mi ciudad se ha vestido de rojo enserio , había tanto miedo porque gobernara la derecha pero tanto y aunque no haya terminado yo ya veo al país de rojo 🌹♥️ HASHTAG   HASHTAG HASHTAG",joy,0,mexican,high
5154,¿Listos para marchar por su futuro? Nos vemos mañana en el Ángel de la Independencia a las 10 am. Recuerden llevar sus carteles hechos con material reciclado 🌎 HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,others,0,mexican,high
5176,"¡Ha llegado el momento de actuar! Los esperamos cada viernes a las 16:00 PM, en el parque central. Entre más personas decidan unirse; El impacto será aún mejor. ¡Por nuestro hogar, Por nuestro futuro! HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG🇲🇽  URL",others,0,mexican,high
5194,¿Saben quien en Mexico va a apoyar la huelga global por el clima? HASHTAG el próximo viernes 15 de marzo. HASHTAG  URL,others,0,mexican,high
