id,tweet,emotion,offensive,dialect,confidence
1127,URL Lima confirma reunión el próximo 3 de mayo en Perú HASHTAG HASHTAG HASHTAG  HASHTAG  URL,others,0,peruvian,high
1174,"Grupo de Lima respalda al presidente encargado USER, se declara en sesión permanente y confirman reunión presencial el viernes 3 de mayo en la cuidad de Lima. HASHTAG HASHTAG  URL",others,0,peruvian,high
1240,17:50 El Grupo de Lima se reunirá este viernes en Lima para evaluar de urgencia la crisis en Venezuela. HASHTAG HASHTAG,others,0,peruvian,medium
1310,"VIDEO 📹 Si nos buscan en las CALLES, en la calles nos van a conseguir. Hoy ratificamos, desde Miraflores, máxima lealtad al presidente, USER y a la Constitución de HASHTAG. ¡SEGUIMOS VENCIENDO!  HASHTAG  URL",joy,0,peruvian,high
1317,USER HASHTAG le hizo caso y salió pa' Miraflores a derrotar a los golpistas.,others,0,peruvian,high
2224,"HASHTAG 7° El héroe discreto por Mario Vargas Llosa""Es verdad que es imposible conocer a fondo a las personas, todas son insondables.""",others,0,peruvian,high
2260,Feliz día del libro!!! Hoy lo celebramos con Chica Cafeína en el colegio Lima Villa College ✍️📚📖 HASHTAG HASHTAG HASHTAG HASHTAG  URL,joy,0,peruvian,high
2355,"¿Por qué hoy es el HASHTAG? HASHTAG HASHTAG e Inca HASHTAG murieron el 23/4. Varios siglos después (1926), un librero español logró que a la Cámara Oficial del libro de Barcelona aprobara la celebración. USER  URL",others,0,peruvian,medium
2423,HASHTAG | HASHTAG📚 ¿Cuánto dinero mueve el mercado editorial cada año? 🤔▪️Solo en Lima la venta de libros aumenta año a año➡️  URL,others,0,peruvian,high
2579,"USER “La fiesta del chivo” del mejor escritor de Latinoamérica, Mario Vargas Llosa HASHTAG HASHTAG",joy,0,peruvian,medium
2947,¿Cuántos libros se han adaptado al cine? ¡Feliz HASHTAG!📚📖 HASHTAG Mira HASHTAG 🕔película basada en novela homónima HASHTAG premio HASHTAG con USER USER USER Mírala aquí YA DISPONIBLE HASHTAG🇵🇪🎥📺 URL  URL,joy,0,peruvian,high
5256,Más sobre la marcha en Lima 🔜  A seguir difundiendo y desde el rol que tengamos sigamos luchando por un mundo más sostenible día a día 💪🏼🙌🏼 HASHTAG HASHTAG  URL,others,0,peruvian,high
5280,"HASHTAG ¡Perú! Porque este grave problema es de todos, salimos a las calles a protestar por el HASHTAG USER USER USER HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL",others,0,peruvian,high
5362,"HASHTAG. Tenemos lista la tapa de mañana. Inspirados por la joven sueca HASHTAG nominada al Premio Nobel de la Paz, un grupo de jóvenes peruanos reclama que el HASHTAG esté en la agenda nacional. HASHTAG HASHTAG HASHTAG.  URL",others,0,peruvian,high
5462,"Inspirados por HASHTAG, estos estudiantes peruanos están luchando por poner el tema del HASHTAG en la agenda nacional. Desde mayo marcharán todos los viernes, hasta que el Gobierno adopte medidas para enfrentar la emergencia   URL  URL",others,0,peruvian,high
6296,"En  el HASHTAG, ¿cuáles son las recomendaciones de los CEOs peruanos?  URL",others,0,peruvian,high
7118,Qué alguien me cuente qué pasó con la 'fase final' de la liberación de HASHTAG. ¿Ya HASHTAG está en Miraflores? 😂  HASHTAG,others,0,peruvian,high
7225,El 11ème Festival de Cinéma Péruvien de HASHTAG🗼 se desarrolla con la tristeza y pérdida irrecuperable para la cultura y la historia HASHTAG gracias al esfuerzo de su directora Jovita Maeder y USER Más info aquí  URL visita  URL  URL,sadness,0,peruvian,high
8383,Coño si mataron a Kennedy... como es que no pueden matar a ese gordo de Miraflores HASHTAG,anger,1,peruvian,high
