id,tweet,emotion,offensive,dialect,confidence
4267,"¿Se ha suicidado una miaja el Liverpool hoy, no? Una miaja de enzarpe.  HASHTAG HASHTAG",others,0,puerto_rican,high
4506,Po en verdaLo llevo bienEn planNo las HASHTAG El fracaso,others,0,puerto_rican,high
5584,Shot cada que veas un Twitts de HASHTAG. Doble si mencionan a Cuasimodo. Fondo si ponen foto de ellos en la catedral.,others,0,puerto_rican,high
5588,"HASHTAG mas de 200 años en hacerla, un patrimonio de la humanidad verla así pego en el cora, bro",sadness,0,puerto_rican,high
5660,Ya nunca podré ver HASHTAG. Pinshi vida....,sadness,0,puerto_rican,high
5731,Chiques como todavia no hicieron un hilo con conspiraciones sobre lo que paso con la HASHTAG,others,0,puerto_rican,high
5849,USER Ahora sigamos con las vainas de HASHTAG... Ya pasó el descanso para distraernos y mirar a HASHTAG,others,0,puerto_rican,high
5944,"Muy chevere y todo pero ese no debía ser el final para el rey de la noche. merecía más, muchísimo más HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG",sadness,0,puerto_rican,high
6113,USER USER Tira pues un comentario épico Santi😁 HASHTAG,others,0,puerto_rican,high
6117,calentando motores pa lo q viene..🔥🐉 HASHTAG  URL,joy,0,puerto_rican,high
6244,"CULTURA ➡️ HASHTAG USER pone la tinta descubridora al HASHTAG El catedrático de Historia Moderna de la USER el sanjuanero David González Cruz, presenta las dos últimas investigaciones  URL",others,0,puerto_rican,high
6539,"y ya lo ve, y ya lo ve, es pa Cristiano que lo mira por TV HASHTAG",others,0,puerto_rican,high
6737,"Lo más consumido en esta noche no serán gin tónic , esta noche es más de Ron . Ron POLANO obviamente HASHTAG",others,0,puerto_rican,high
6916,Tú no puedes comprar al vientoTú no puedes comprar al solTú no puedes comprar la lluviaTú no puedes comprar el calorTú no puedes comprar las nubesTú no puedes comprar los colores(Calle 13) HASHTAG HASHTAG HASHTAG HASHTAG,others,0,puerto_rican,high
6949,"🌱Los jóvenes tienen que ser escuchados🌱Dejemos de tomar decisiones sin contar con ellos. Lo que dicen es relevante, lógico, razonable e importante. Cuidemos el mundo. Justicia climática. Mi isla sostenible. HASHTAG HASHTAG HASHTAG  URL",others,0,puerto_rican,high
7382,"Uy, qué triste lo de HASHTAG lloro como precious, qué pérdida, qué dolor, ya no suban más fotos de su visita a París, que me remueve todo.  URL",sadness,0,puerto_rican,high
7625,DA ASCO la cantidad de ignorantes y de resentidos que se burlan o se alegran por el incendio en Notre Dame. HASHTAG,disgust,1,puerto_rican,high
7697,"Ala puta, ala puta^ mi reacción a ver lonquebestá sucediendo en HASHTAG Literalmente están atropellando a los manifestantes, con tanques.",anger,1,puerto_rican,high
7795,Pueblo en dónde? Con quién? A ver si ponen a trabajar más dignamente a los pendejos que les retuitean esas vainas... HASHTAG HASHTAG,anger,1,puerto_rican,high
7833,Mucha gente criticada por no ver HASHTAG pero y a esos que no le gusta HASHTAG y critican HASHTAG?... a esos no le abrimos la cabeza o como va la vaina?,anger,1,puerto_rican,high
7855,"Y bueno, llegó ésta vaina...😖 HASHTAG  HASHTAG HASHTAG Que sea lo que los dioses quieran...  URL",others,0,puerto_rican,high
7957,He gozado como una perra!!! mejor dicho como una loba 🐺 HASHTAG  HASHTAG,joy,1,puerto_rican,high
8054,"Tito floren, tráeme a gente buena el año que viene porque estamos en la mierda, y la música de la HASHTAG hace falta en el  HASHTAG USER",others,1,puerto_rican,high
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
