id,tweet,emotion,offensive,dialect,confidence
1,Acabo de ver la gran pérdida que estamos teniendo en estos momentos en HASHTAG... La catedral de HASHTAG está en llamas😭Hoy la humanidad ha perdido otro gran monumento arquitectónico 😔  URL,sadness,0,spanish_spain,high
4,"Muy afectada -como muchísima gente- por lo ocurrido a HASHTAG, lo llevo por dentro. Me gusta saber y estar informada pero no voy a recrearme viendo imágenes y escuchando ""información"" que solamente da vueltas a lo mismo una y otra vez",sadness,0,spanish_spain,high
6,"HASHTAG ¡Lamentable! 😥Las llamas no solamente devoraron la madera de HASHTAG, sino también más de ocho siglos de historia francesa y europea 👉  URL  URL",sadness,0,spanish_spain,high
8,"Todo indica que el incendio de HASHTAG fue accidental, comentó el jefe de 50 detectives y peritos dedicados a la investigación. La estructura de 850 años de antigüedad no está dañada. Varios tesoros fueron salvados. USER",sadness,0,spanish_spain,high
9,"Desde siempre he visto HASHTAG como una obra maravillosa de la arquitectura, no como algo relacionado con un dogma de fe.  Mi pesar es por lo primero, nada más.",sadness,0,spanish_spain,high
10,Los mismos que piden presunción de inocencia ante el feminismo hegemónico son aquellos que acusan de ataque musulmán el incendio de Notre Dame sin pruebas.  HASHTAG HASHTAG  URL,anger,0,spanish_spain,high
12,"USER No te sientas mal por llorar, es horrible que esto atroces suceso sigan ocurriendo HASHTAG",sadness,0,spanish_spain,high
13,"El 26 de octubre de 2018 grabé este vídeo durante mi primer viaje a HASHTAG. Las campanas de la Catedral de HASHTAG se escuchaban por toda la ciudad. Fue un momento mágico. Hoy, el mundo entero llora por una gran pérdida. Mi corazón se une al dolor de HASHTAG. Terrible 😔⛪️🇫🇷  URL",sadness,0,spanish_spain,high
14,París bien vale una misa... o dos. Que pena. URL,sadness,0,spanish_spain,high
15,"Esto fue una de la cosas que más me impresionó y enamoro de HASHTAG, la imagen que tengo de ese momento dentro de la catedral es hermosa, desde chiquitita he sentido una pequeña debilidad hacia ella y ahora París no volverá  a ser la misma para mí.  URL",sadness,0,spanish_spain,high
16,"Hoy el mundo occidental está “shockeado” con el incendio en la Catedral de Notre Dame.  Impresionante la sensación que  viví al entrar y ver esa magnificencia.  Sí, si impone. HASHTAG HASHTAG  URL",sadness,0,spanish_spain,high
