id,tweet,emotion,offensive,dialect,confidence
2,USER ¿A que vamos a reconstruir Notre Dame antes de mandar un solo barco de salvamento al Mediterráneo... a que sí? HASHTAG  URL,sadness,0,unknown,low
3,Desde ayer andan sufriendo por el incendio de HASHTAG y ni siquiera conocen la Basílica del voto nacional.,anger,0,unknown,low
7,No conocen ni la Iglesia que está en el barrio y esta llorando por la catedral de HASHTAG,anger,0,unknown,low
17,USER Vamos muy mal cuando ya ni nos respetamos nostros mismos. Vergüenza! HASHTAG HASHTAG HASHTAG,anger,0,unknown,low
20,Estos dos días me he dado cuenta que soy el único pobre que no conoció la Catedral de HASHTAG,sadness,0,unknown,low
22,Hace ocho meses se veía hermosa... HASHTAG  URL,sadness,0,unknown,low
27,"Sobrevivir a DOS GUERRAS MUNDIALES, para caer frente a un Absurdo Incendio por Negligencia - HASHTAG",anger,0,unknown,low
28,"El incendio en HASHTAG puso de luto al mundo entero, ¿pero cuál pudo ser el sentimiento colectivo de los franceses? Esta, la platica que tuve con el arquitecto francés André-Jaques Bodin. HASHTAG  URL",sadness,0,unknown,low
29,"Hoy es un día triste en HASHTAG HASHTAG catedral de nuestra señora es muy hermosa, cuando este reconstruida va a estar más hermosa que antes.",sadness,0,unknown,low
30,Lo que costó 200 años en construir se puede perder en un día... que tristeza! HASHTAG HASHTAG  URL,sadness,0,unknown,low
33,"Que diferente sería nuestra sociedad si la misma emoción que nos hace llorar, devastar el alma y dejarnos petrificados en el sofá ante HASHTAG  la aplicaramos ante las injusticias, las guerras y los millones de fallecidos por  hambre que a diario mueren en el olvido",sadness,0,unknown,low
34,"Esta sensación de que haya desaparecido un lugar hermoso en el que nunca estuviste, creo que resuena con esa sensación tan humana de lamentar vidas que ya no es posible vivir HASHTAG",sadness,0,unknown,low
35,¿Cómo pudo pasar algo así HASHTAG? Una verdadera tragedia.,sadness,0,unknown,low
42,HASHTAG HASHTAG HASHTAG Sin palabras por otra perdida cultural. en Notre Dame  URL,sadness,0,unknown,low
53,La tragedia de HASHTAG me hace pensar que no deberíamos dar nada x sentado. Las cosas y las personas un día estan ahí y al siguiente dejan de estarlo. Atesoremos cada momento.,sadness,0,unknown,low
54,USER Esta imagen me resultó fantástica HASHTAG  URL,joy,0,unknown,low
55,"Estoy tan triste, que lastima, que gran perdida 😢 HASHTAG",sadness,0,unknown,low
58,"Estoy destrozada por el devastador incendio en la Catedral de Notre Dame, estaba planeado ir dentro de 4 o 5 décadas para conocerla, Dios la tenga en su Santa gloria. 😔 HASHTAG HASHTAG  HASHTAG HASHTAG",sadness,0,unknown,low
60,"Se escuchó en alguna ocasión: “Mucha gente reza dentro de Nuestra Señora de París, pero cuando lo coros cantan, entonces realmente las oraciones llegan al cielo.” Impacientemente esperaremos el resurgimiento de sus cantos, de su música, de su grandeza… HASHTAG  URL",sadness,0,unknown,low
65,¡Gracias a Dios! Las llamas de este incendio fueron controladas🙏🏻🇫🇷 Mucha fuerza HASHTAG ✨ Pronto volveremos a ver brillar esta hermosa estructura HASHTAG que peores momentos se ha enfrentado🤞🏻⚔️ HASHTAG HASHTAG  URL,joy,0,unknown,low
66,Esta la gente que todavía no entendió que la iglesia no es solo un edificio!   HASHTAG,sadness,0,unknown,low
70,"Cuando se afecta al Patrimonio Mundial, nos duele a todos. HASHTAG ☟  URL",sadness,0,unknown,low
71,HASHTAG nunca llegue a visitar tan grandiosa construcción. Solo vista en imágenes y videos.. 😭,sadness,0,unknown,low
78,Muchos de nuestros compañeros de USER como USER y USER tristes por lo ocurrido en la catedral de HASHTAG USER más a las 12:30pm en la HASHTAG con USER  URL,sadness,0,unknown,low
79,Que triste ver qué se incendió la única iglesia a la que entraría voluntariamente. HASHTAG,sadness,0,unknown,low
82,😢 Muy tristes las noticias sobre HASHTAG. Hermoso lugar.  URL,sadness,0,unknown,low
86,RT si es PROVOCADO! !!!👉🏼🚨FAV si opinas que es sin querer 🔥 HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,anger,0,unknown,low
87,Hoy la humanidad perdió un pedacito de su historia! 😢 HASHTAG HASHTAG HASHTAG  URL,sadness,0,unknown,low
88,Pobre incendió en paris en la Catedral de Notre dame HASHTAG a un tiene esperanza,sadness,0,unknown,low
