id,tweet,emotion,offensive,dialect,confidence
312,"HASHTAG horas más sin electricidad antecedidas por 2 noches completas sin electricidad... somos un pueblo humillado cansado, se quema HASHTAG HASHTAG asilos, en menos de 4 horas ya HASHTAG tiene 400 millones para recuperar su joya eclesiastica. Pero nosotros estamos peor peor",anger,0,venezuelan,high
457,"Poli Rincón, en USER sobre el incendio de HASHTAG: ""Qué bonita está, me recuerda a las Fallas""  URL",others,0,venezuelan,high
532,"HASHTAG En menos de dos meses el tiempo (o el destino) ha vivido trágicos espectáculos impactados con estupor; una yuxtaposición inverosímil entre quema de ayuda humanitaria en Venezuela,  URL",others,0,venezuelan,high
631,"Esto es el chavismo. Impresionante documental. Aviso, hay imágenes muy duras.Ánimo,  URL",surprise,0,venezuelan,high
632,"USER.@bbcmundo el presidente interino de HASHTAG USER no se ""AUTOPLOCLAMÓ"". Él el legítimo presidente de Venezuela de acuerdo a la Constitución. El único ilegítimo usurpador es HASHTAG que debe irse porque el pueblo quiere una HASHTAG",anger,0,venezuelan,high
633,Amamos USER Estamos al lado del pueblo venezolano y maduron. HASHTAG  URL,joy,0,venezuelan,high
634,"Mucha fuerza a mis amigos venezolanos, a sus familiares y a todo el pueblo de HASHTAG. Es un día histórico, se ha desatado una tormenta tras la que vendrá después la calma. Estamos con ustedes.",joy,0,venezuelan,high
637,"HASHTAG En HASHTAG estamos seguros de que actualmente, y durante más de 15 años, agentes del régimen cubano han estado reprimiendo en HASHTAG. Esbirros que golpean y encarcelan en las calles y prisiones de Cuba,  están en Venezuela y otros miles han pasado por este país",sadness,0,venezuelan,high
639,"MIENTRAS en las calles de  HASHTAG  HASHTAG  las Tanquetas Militares de la ""GUARDIA NACIONAL"" de USER -èsta es BOLIVARIANA- PERO CREADA CON LAS MISMAS INTENCIONES QUE LA DE HASHTAG  Tratan de detener las MANIFESTACIONES ¡ATROPELLANDO CIVILES!  HASHTAG HASHTAG HASHTAG  URL",anger,0,venezuelan,high
643,Ánimo HASHTAG USER este es el régimen que apoyan?? USER esta es la revolución de Venezuela USER fuera!!! USER  URL,anger,0,venezuelan,high
644,🙏Venezuela ya está lista y la veré renacer 💛💙❤. HASHTAG,joy,0,venezuelan,high
646,USER Mucho animo y coraje al pueblo venezolano. HASHTAG HASHTAG,joy,0,venezuelan,high
648,"Venezuela Está Como la Chica Que Te Halaga en la Mañana y Cuando Le Intentas Caer al Final del Día, Te Dice Que Te Ve Como Amigo /// Los Mismos Sentimientos /// Que Quieren Que Les Diga, Sigo Enamorado de HASHTAG",sadness,0,venezuelan,high
652,USER Para mi siempre será un placer enorme escuchar a Don USER Mil gracias por buscar la manera de mantenernos informados y no dejarse amedrentar por los que quieren tenerlo en silencio...  Dios lo bendiga HASHTAG  HASHTAG 🇻🇪,joy,0,venezuelan,high
655,"""Aquí seguimos, en esta mierda, pero con ganas de limpiarnos el culo"". Anónimus Maracuchus. HASHTAG",anger,1,venezuelan,high
661,Lo único que puedo decir es FUERZA VENEZUELA🙏🙏 Vamos Bien!!! HASHTAG HASHTAG HASHTAG USER 💕💕💕💕,joy,0,venezuelan,high
663,"Es absurdo que muchos pongan el pretexto que EEUU está pendiente de HASHTAG por el petróleo....¡GENTE EL MUNDO ENTERO ESTA AL TANTO DE VENEZUELA, ALLÍ ESTA SUCEDIENDO UNA CARNICERÍA Y MILES DE INJUSTICIAS!",anger,0,venezuelan,high
664,"Venezolanos por favor, ahora más unidos que nunca, no dejen la calle sola. Llegó el fin de tantos años de miseria, sigan en la calle HASHTAG",fear,0,venezuelan,high
666,En HASHTAG se están inmolando para ser una república libre del dictador Maduro y acá estamos pensando en que vuelva la aliada nro 1 de Maduro. USER. Desde qué lógica se puede entender? Qué pais! HASHTAG,anger,0,venezuelan,high
667,USER Me acaba de llegar un mensaje de uds (que no autoricé pero ese no es el problema) dicen sin empacho que «hubo un levantamiento militar en HASHTAG» ¿ Por que mienten? Hubo un levantamiento del USER y del delincuente Leopoldo ¿Por qué engañan?,anger,1,venezuelan,high
673,"Esto de hoy debió venir junto a la HASHTAG. La calle hace su trabajo. Los militares hacen su extracción. Pero no, otra vez , otra cagada. Todo esto para que Leopoldo y su familia se asilaran mientras los q atropello la tanqueta están graves. HASHTAG HASHTAG  URL",anger,0,venezuelan,high
