model,class,precision,recall,f1_score,support,row_type
Gemma,anger,0.5686,0.5133,0.5395,226,per_class
Gemma,disgust,0.0806,0.25,0.122,40,per_class
Gemma,fear,0.1818,0.2857,0.2222,7,per_class
Gemma,joy,0.6061,0.7892,0.6856,351,per_class
Gemma,others,0.6686,0.4387,0.5297,538,per_class
Gemma,sadness,0.4323,0.6091,0.5057,110,per_class
Gemma,surprise,0.2923,0.1959,0.2346,97,per_class
Gemma,macro avg,0.4043,0.4403,0.4056,1369,aggregate
Gemma,weighted avg,0.5707,0.531,0.535,1369,aggregate
Gemma,accuracy,,,0.531,,aggregate
