model,class,precision,recall,f1_score,support,row_type
Gemma,anger,0.5538,0.7347,0.6316,98,per_class
Gemma,disgust,0.2353,0.1818,0.2051,22,per_class
Gemma,fear,0.0,0.0,0.0,5,per_class
Gemma,joy,0.5556,0.7143,0.625,42,per_class
Gemma,others,0.7939,0.655,0.7178,200,per_class
Gemma,sadness,0.6809,0.6809,0.6809,47,per_class
Gemma,surprise,0.25,0.125,0.1667,8,per_class
Gemma,macro avg,0.4385,0.4417,0.4324,422,aggregate
Gemma,weighted avg,0.653,0.6398,0.6388,422,aggregate
Gemma,accuracy,,,0.6398,,aggregate
