model,class,precision,recall,f1_score,support,row_type
Gemma,anger,0.4661,0.6044,0.5263,273,per_class
Gemma,disgust,0.1519,0.2264,0.1818,53,per_class
Gemma,fear,0.4889,0.6667,0.5641,33,per_class
Gemma,joy,0.7024,0.6745,0.6882,553,per_class
Gemma,others,0.7171,0.6377,0.6751,1093,per_class
Gemma,sadness,0.6982,0.8025,0.7468,395,per_class
Gemma,surprise,0.4242,0.2772,0.3353,101,per_class
Gemma,macro avg,0.5213,0.5556,0.5311,2501,aggregate
Gemma,weighted avg,0.6567,0.6453,0.6474,2501,aggregate
Gemma,accuracy,,,0.6453,,aggregate
