model,class,precision,recall,f1_score,support,row_type
mBERT,anger,0.4211,0.32,0.3636,25,per_class
mBERT,disgust,0.3333,0.2,0.25,5,per_class
mBERT,fear,0.0,0.0,0.0,1,per_class
mBERT,joy,0.4348,0.4348,0.4348,23,per_class
mBERT,others,0.6495,0.7975,0.7159,79,per_class
mBERT,sadness,0.8095,0.6296,0.7083,27,per_class
mBERT,surprise,0.5,0.1818,0.2667,11,per_class
mBERT,macro avg,0.4497,0.3662,0.3913,171,aggregate
mBERT,weighted avg,0.5898,0.5906,0.5787,171,aggregate
mBERT,accuracy,,,0.5906,,aggregate
